Student_ID,Study_Hours,Attendance_Percentage,Assignment_Score,Sleep_Hours,Previous_Score,Final_Score
76,6.3,75,69,5.6,67,76.0
77,7.0,71,65,5.6,68,77.8
78,5.7,57,94,7.9,76,91.9
79,1.4,81,73,6.7,68,65.2
80,4.2,81,40,7.7,40,65.7
81,2.3,71,84,8.7,55,69.8
82,7.3,76,42,7.1,67,82.6
83,4.3,89,47,7.7,73,83.1
84,6.8,77,40,8.6,43,75.6
85,4.4,86,73,7.2,87,88.1
86,7.9,100,98,8.2,93,100.0
87,2.1,59,100,4.7,67,72.2
88,5.8,90,59,8.3,65,89.9
89,5.6,66,49,6.2,80,72.6
90,2.0,66,77,6.2,75,74.4
91,3.9,91,85,4.6,78,86.0
92,2.8,82,94,6.6,61,78.2
93,5.4,69,68,6.9,95,83.5
94,5.2,58,79,8.1,64,80.4
95,6.8,73,75,5.3,94,89.2
96,5.8,87,74,7.0,75,93.5
97,6.4,55,43,4.9,90,73.6
98,1.2,79,43,7.9,75,55.2
99,3.8,92,61,5.4,81,79.8
100,1.3,83,75,8.3,72,68.0
101,5.1,73,76,5.4,47,74.7
102,6.1,67,96,8.7,64,90.0
103,3.4,85,99,8.5,78,83.2
104,7.4,78,95,5.5,48,84.1
105,7.9,78,99,4.6,76,98.8
106,7.9,66,98,5.5,92,98.5
107,4.6,72,53,5.8,92,81.6
108,3.2,78,62,6.5,49,65.0
109,7.3,85,72,8.5,72,99.4
110,4.1,84,67,7.1,76,81.0
111,3.9,62,40,7.7,61,62.6
112,1.1,60,79,5.8,42,51.6
113,5.9,61,83,5.5,55,78.8
114,3.4,71,77,6.6,85,72.4
115,2.4,70,93,8.4,93,81.5
116,2.2,85,77,7.9,92,78.3
117,3.6,62,95,7.1,49,63.7
118,7.0,59,72,6.9,73,93.4
119,4.7,86,71,8.6,89,83.3
120,2.6,97,63,7.7,70,72.6
121,3.3,72,60,7.4,88,81.9
122,2.7,82,70,6.8,80,75.5
123,3.9,100,53,6.4,42,61.9
124,1.3,60,60,7.9,69,59.9
125,3.7,100,84,6.5,59,81.2
126,3.0,81,56,5.0,87,71.0
127,1.8,98,42,7.9,72,60.8
128,5.3,95,51,8.3,52,83.6
129,4.2,74,41,6.3,42,59.1
130,4.4,73,41,8.8,82,73.7
131,1.9,63,82,8.1,94,81.3
132,7.2,66,83,6.8,86,91.0
133,1.0,93,95,8.7,52,62.8
134,1.1,98,80,7.3,45,64.0
135,5.8,91,40,8.3,52,76.5
136,3.6,58,56,8.6,95,79.1
137,2.4,56,89,4.7,91,70.9
138,7.7,98,86,5.2,60,90.1
139,1.5,84,73,7.2,76,71.0
140,1.4,95,81,7.3,63,73.1
141,2.6,74,46,8.7,51,57.3
142,5.2,83,74,6.4,62,77.7
143,4.0,88,44,7.3,76,77.3
144,7.1,94,69,8.0,48,85.7
145,5.6,73,51,8.9,91,86.6
146,7.5,96,45,6.7,88,91.4
147,4.5,91,60,7.8,59,82.7
148,1.4,98,85,6.6,56,63.8
149,3.6,67,52,4.6,79,64.0
150,2.8,56,88,4.9,81,72.4
151,4.2,70,79,7.2,56,77.3
152,7.1,89,80,6.7,60,91.1
153,7.9,68,65,6.4,56,87.2
154,3.5,63,79,8.1,71,81.9
155,7.1,96,76,6.8,61,95.6
156,2.8,57,76,4.6,47,61.4
157,2.2,65,50,6.2,94,68.8
158,6.0,94,89,5.7,86,93.0
159,2.8,57,84,7.9,89,77.4
160,2.8,83,78,5.7,89,82.3
161,5.4,83,71,8.6,62,89.3
162,6.7,58,93,7.7,86,91.1
163,1.8,93,63,7.0,88,72.9
164,3.6,79,42,5.8,94,81.8
165,5.0,79,51,4.9,89,77.3
166,3.0,100,80,5.6,57,68.0
167,2.6,96,100,7.4,61,80.9
168,2.2,81,68,7.2,59,65.5
169,4.3,77,80,5.5,78,84.4
170,5.3,61,60,5.3,88,74.7
171,4.7,89,56,4.6,67,68.4
172,6.5,76,54,7.3,71,84.4
173,6.9,100,50,4.5,86,94.4
174,4.7,58,56,5.6,85,75.3
175,1.9,68,78,7.8,81,78.4
176,4.5,94,95,7.7,87,90.8
177,2.4,57,70,7.3,55,68.0
178,7.8,88,99,5.6,84,96.5
179,3.1,78,78,9.0,82,84.1
180,6.7,100,89,8.4,73,100.0
181,3.6,80,42,6.2,51,65.6
182,2.5,86,53,8.0,56,58.2
183,2.0,63,97,8.9,59,67.2
184,7.3,89,53,6.0,49,81.9
185,7.3,87,88,8.3,78,100.0
186,2.7,66,65,5.5,93,68.3
187,4.9,92,60,8.6,93,93.1
188,2.3,64,70,8.5,62,70.7
189,1.4,56,77,6.2,47,56.3
190,7.1,64,44,4.7,50,68.7
191,7.6,96,64,6.7,58,89.3
192,2.6,67,81,6.6,66,75.5
193,4.7,57,94,6.8,76,76.6
194,2.0,80,99,6.0,53,63.4
195,4.4,73,60,6.9,65,67.4
196,4.5,89,48,4.6,55,64.3
197,4.0,97,93,7.3,63,84.4
198,2.5,97,52,7.6,86,76.0
199,5.3,70,80,7.1,54,77.2
200,2.6,72,68,5.1,67,63.3
